model_id,downloads,tasks,parameters,tags,license,datasets,model_name,metrics,base_model,languages
meta-llama/Llama-3.1-8B-Instruct,5795728,text-generation,8030261248.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'arxiv:2204.05149', 'base_model:meta-llama/Llama-3.1-8B', 'base_model:finetune:meta-llama/Llama-3.1-8B', 'license:llama3.1', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3.1,,,,meta-llama/Meta-Llama-3.1-8B,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']"
google-t5/t5-small,5747624,translation,60506880.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'onnx', 'safetensors', 't5', 'text2text-generation', 'summarization', 'translation', 'en', 'fr', 'ro', 'de', 'multilingual', 'dataset:c4', 'arxiv:1805.12471', 'arxiv:1708.00055', 'arxiv:1704.05426', 'arxiv:1606.05250', 'arxiv:1808.09121', 'arxiv:1810.12885', 'arxiv:1905.10044', 'arxiv:1910.09700', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,['c4'],,,,"['en', 'fr', 'ro', 'de', 'multilingual']"
nateraw/vit-age-classifier,5712672,image-classification,85805577.0,"['transformers', 'pytorch', 'safetensors', 'vit', 'image-classification', 'dataset:nateraw/fairface', 'doi:10.57967/hf/1259', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,['nateraw/fairface'],,,,
Salesforce/blip-image-captioning-base,5600691,image-to-text,,"['transformers', 'pytorch', 'tf', 'blip', 'image-text-to-text', 'image-captioning', 'image-to-text', 'arxiv:2201.12086', 'license:bsd-3-clause', 'endpoints_compatible', 'region:us']",bsd-3-clause,,,,,
openai/whisper-large-v3-turbo,5594604,automatic-speech-recognition,808878080.0,"['transformers', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'base_model:openai/whisper-large-v3', 'base_model:finetune:openai/whisper-large-v3', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,['openai/whisper-large-v3'],"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
bartowski/DeepSeek-R1-Distill-Qwen-14B-GGUF,5525023,text-generation,,"['gguf', 'text-generation', 'base_model:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B', 'base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B', 'endpoints_compatible', 'region:us', 'imatrix', 'conversational']",,,,,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,
microsoft/deberta-base,5417357,fill-mask,,"['transformers', 'pytorch', 'tf', 'rust', 'deberta', 'deberta-v1', 'fill-mask', 'en', 'arxiv:2006.03654', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,en
kresnik/wav2vec2-large-xlsr-korean,5396215,automatic-speech-recognition,316673845.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'automatic-speech-recognition', 'speech', 'audio', 'ko', 'dataset:kresnik/zeroth_korean', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,['kresnik/zeroth_korean'],Wav2Vec2 XLSR Korean,,,ko
allenai/longformer-base-4096,5330233,,,"['transformers', 'pytorch', 'tf', 'rust', 'longformer', 'en', 'arxiv:2004.05150', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,en
TheBloke/phi-2-GGUF,5283681,text-generation,,"['transformers', 'gguf', 'phi-msft', 'nlp', 'code', 'text-generation', 'en', 'base_model:microsoft/phi-2', 'base_model:quantized:microsoft/phi-2', 'license:other', 'region:us']",other,,Phi 2,,microsoft/phi-2,['en']
smallcloudai/Refact-1_6B-fim,5195573,text-generation,1585842176.0,"['transformers', 'pytorch', 'safetensors', 'gpt_refact', 'text-generation', 'code', 'custom_code', 'en', 'dataset:bigcode/the-stack-dedup', 'dataset:rombodawg/2XUNCENSORED_MegaCodeTraining188k', 'dataset:bigcode/commitpackft', 'arxiv:2108.12409', 'arxiv:1607.06450', 'arxiv:1910.07467', 'arxiv:1911.02150', 'license:bigscience-openrail-m', 'model-index', 'autotrain_compatible', 'region:us']",bigscience-openrail-m,"['bigcode/the-stack-dedup', 'rombodawg/2XUNCENSORED_MegaCodeTraining188k', 'bigcode/commitpackft']",Refact-1.6B,['code_eval'],,['en']
openai/clip-vit-large-patch14-336,5105161,zero-shot-image-classification,,"['transformers', 'pytorch', 'tf', 'clip', 'zero-shot-image-classification', 'generated_from_keras_callback', 'endpoints_compatible', 'region:us']",,,clip-vit-large-patch14-336,,,
google-bert/bert-base-cased,5064061,fill-mask,108932934.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'fill-mask', 'exbert', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1810.04805', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,"['bookcorpus', 'wikipedia']",,,,en
openai/clip-vit-base-patch16,4961655,zero-shot-image-classification,,"['transformers', 'pytorch', 'jax', 'clip', 'zero-shot-image-classification', 'vision', 'arxiv:2103.00020', 'arxiv:1908.04913', 'endpoints_compatible', 'region:us']",,,,,,
sentence-transformers/all-MiniLM-L12-v2,4912191,sentence-similarity,33360512.0,"['sentence-transformers', 'pytorch', 'rust', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'en', 'dataset:s2orc', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:ms_marco', 'dataset:gooaq', 'dataset:yahoo_answers_topics', 'dataset:code_search_net', 'dataset:search_qa', 'dataset:eli5', 'dataset:snli', 'dataset:multi_nli', 'dataset:wikihow', 'dataset:natural_questions', 'dataset:trivia_qa', 'dataset:embedding-data/sentence-compression', 'dataset:embedding-data/flickr30k-captions', 'dataset:embedding-data/altlex', 'dataset:embedding-data/simple-wiki', 'dataset:embedding-data/QQP', 'dataset:embedding-data/SPECTER', 'dataset:embedding-data/PAQ_pairs', 'dataset:embedding-data/WikiAnswers', 'arxiv:1904.06472', 'arxiv:2102.07033', 'arxiv:2104.08727', 'arxiv:1704.05179', 'arxiv:1810.09305', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,"['s2orc', 'flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'code_search_net', 'search_qa', 'eli5', 'snli', 'multi_nli', 'wikihow', 'natural_questions', 'trivia_qa', 'embedding-data/sentence-compression', 'embedding-data/flickr30k-captions', 'embedding-data/altlex', 'embedding-data/simple-wiki', 'embedding-data/QQP', 'embedding-data/SPECTER', 'embedding-data/PAQ_pairs', 'embedding-data/WikiAnswers']",,,,en
facebook/esm2_t36_3B_UR50D,4876017,fill-mask,,"['transformers', 'pytorch', 'tf', 'esm', 'fill-mask', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,,,
amazon/chronos-bolt-base,4831437,time-series-forecasting,205292928.0,"['safetensors', 't5', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:1910.10683', 'arxiv:2403.07815', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
timm/efficientnet_b3.ra2_in1k,4642670,image-classification,12320528.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:2110.00476', 'arxiv:1905.11946', 'license:apache-2.0', 'region:us']",apache-2.0,['imagenet-1k'],,,,
openai/whisper-large-v3,4589017,automatic-speech-recognition,1543490560.0,"['transformers', 'pytorch', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
facebook/wav2vec2-base-960h,4455115,automatic-speech-recognition,94395552.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'dataset:librispeech_asr', 'arxiv:2006.11477', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,['librispeech_asr'],wav2vec2-base-960h,,,en
papluca/xlm-roberta-base-language-detection,4434573,text-classification,278059542.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'multilingual', 'ar', 'bg', 'de', 'el', 'en', 'es', 'fr', 'hi', 'it', 'ja', 'nl', 'pl', 'pt', 'ru', 'sw', 'th', 'tr', 'ur', 'vi', 'zh', 'dataset:papluca/language-identification', 'arxiv:1911.02116', 'base_model:FacebookAI/xlm-roberta-base', 'base_model:finetune:FacebookAI/xlm-roberta-base', 'doi:10.57967/hf/2064', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,papluca/language-identification,xlm-roberta-base-language-detection,"['accuracy', 'f1']",xlm-roberta-base,"['multilingual', 'ar', 'bg', 'de', 'el', 'en', 'es', 'fr', 'hi', 'it', 'ja', 'nl', 'pl', 'pt', 'ru', 'sw', 'th', 'tr', 'ur', 'vi', 'zh']"
emilyalsentzer/Bio_ClinicalBERT,4339854,fill-mask,,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'fill-mask', 'en', 'arxiv:1904.03323', 'arxiv:1901.08746', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,en
sentence-transformers/paraphrase-mpnet-base-v2,4302863,sentence-similarity,109486978.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'mpnet', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'doi:10.57967/hf/2004', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
meta-llama/Llama-3.2-1B,4255138,text-generation,1235814400.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'arxiv:2204.05149', 'arxiv:2405.16406', 'license:llama3.2', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3.2,,,,,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']"
patrickjohncyh/fashion-clip,4119982,zero-shot-image-classification,151277439.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'clip', 'zero-shot-image-classification', 'vision', 'language', 'fashion', 'ecommerce', 'en', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,['en']
ibm-granite/granite-timeseries-ttm-r1,4062861,time-series-forecasting,805280.0,"['granite-tsfm', 'safetensors', 'tinytimemixer', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:2401.03955', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
WinKawaks/vit-tiny-patch16-224,4009241,image-classification,5717416.0,"['transformers', 'pytorch', 'safetensors', 'vit', 'image-classification', 'vision', 'dataset:imagenet', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,['imagenet'],,,,
google-t5/t5-base,3976790,translation,222903936.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 't5', 'text2text-generation', 'summarization', 'translation', 'en', 'fr', 'ro', 'de', 'dataset:c4', 'arxiv:1805.12471', 'arxiv:1708.00055', 'arxiv:1704.05426', 'arxiv:1606.05250', 'arxiv:1808.09121', 'arxiv:1810.12885', 'arxiv:1905.10044', 'arxiv:1910.09700', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,['c4'],,,,"['en', 'fr', 'ro', 'de']"
microsoft/Florence-2-large,3920730,image-text-to-text,,"['transformers', 'pytorch', 'florence2', 'text-generation', 'vision', 'image-text-to-text', 'custom_code', 'arxiv:2311.06242', 'license:mit', 'autotrain_compatible', 'region:us']",mit,,,,,
mistralai/Mistral-7B-Instruct-v0.2,3862583,text-generation,7241732096.0,"['transformers', 'pytorch', 'safetensors', 'mistral', 'text-generation', 'finetuned', 'conversational', 'arxiv:2310.06825', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
avsolatorio/GIST-small-Embedding-v0,3807001,sentence-similarity,33360000.0,"['sentence-transformers', 'pytorch', 'safetensors', 'bert', 'feature-extraction', 'mteb', 'sentence-similarity', 'en', 'arxiv:2402.16829', 'arxiv:2212.09741', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,GIST-small-Embedding-v0,,,['en']
stabilityai/stable-diffusion-xl-base-1.0,3806811,text-to-image,,"['diffusers', 'onnx', 'safetensors', 'text-to-image', 'stable-diffusion', 'arxiv:2307.01952', 'arxiv:2211.01324', 'arxiv:2108.01073', 'arxiv:2112.10752', 'license:openrail++', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionXLPipeline', 'region:us']",openrail++,,,,,
mattmdjaga/segformer_b2_clothes,3780111,image-segmentation,27362002.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'segformer', 'vision', 'image-segmentation', 'dataset:mattmdjaga/human_parsing_dataset', 'arxiv:2105.15203', 'license:mit', 'endpoints_compatible', 'region:us']",mit,['mattmdjaga/human_parsing_dataset'],,,,
colbert-ir/colbertv2.0,3762067,,109581056.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'ColBERT', 'en', 'arxiv:2004.12832', 'arxiv:2007.00814', 'arxiv:2101.00436', 'arxiv:2112.01488', 'arxiv:2205.09707', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,['en']
google/bert_uncased_L-2_H-128_A-2,3688949,,4433468.0,"['transformers', 'pytorch', 'jax', 'safetensors', 'bert', 'arxiv:1908.08962', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
Alibaba-NLP/gte-large-en-v1.5,3688893,sentence-similarity,434139136.0,"['transformers', 'onnx', 'safetensors', 'new', 'feature-extraction', 'sentence-transformers', 'gte', 'mteb', 'transformers.js', 'sentence-similarity', 'custom_code', 'en', 'dataset:allenai/c4', 'arxiv:2407.19669', 'arxiv:2308.03281', 'license:apache-2.0', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,['allenai/c4'],gte-large-en-v1.5,,,['en']
albert/albert-base-v2,3672646,fill-mask,11842272.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'albert', 'fill-mask', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1909.11942', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,"['bookcorpus', 'wikipedia']",,,,en
Bingsu/yolo-world-mirror,3668106,,,"['ultralytics', 'license:agpl-3.0', 'region:us']",agpl-3.0,,,,,
BAAI/bge-small-en-v1.5,3569734,feature-extraction,33360512.0,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'mteb', 'en', 'arxiv:2401.03462', 'arxiv:2312.15503', 'arxiv:2311.13534', 'arxiv:2310.07554', 'arxiv:2309.07597', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,bge-small-en-v1.5,,,['en']
tohoku-nlp/bert-base-japanese,3564124,fill-mask,,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'fill-mask', 'ja', 'dataset:wikipedia', 'license:cc-by-sa-4.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",cc-by-sa-4.0,['wikipedia'],,,,ja
thenlper/gte-small,3529459,sentence-similarity,33360512.0,"['sentence-transformers', 'pytorch', 'tf', 'coreml', 'onnx', 'safetensors', 'openvino', 'bert', 'mteb', 'sentence-similarity', 'Sentence Transformers', 'en', 'arxiv:2308.03281', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,gte-small,,,['en']
jinaai/jina-bert-flash-implementation,3505650,,,"['transformers', 'bert', 'custom_code', 'endpoints_compatible', 'region:eu']",,,,,,
jonatasgrosman/wav2vec2-large-xlsr-53-arabic,3505212,automatic-speech-recognition,,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'speech', 'xlsr-fine-tuning-week', 'ar', 'dataset:common_voice', 'dataset:arabic_speech_corpus', 'doi:10.57967/hf/3573', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,"['common_voice', 'arabic_speech_corpus']",XLSR Wav2Vec2 Arabic by Jonatas Grosman,"['wer', 'cer']",,ar
google/byt5-base,3487964,text2text-generation,,"['transformers', 'pytorch', 'tf', 'jax', 't5', 'text2text-generation', 'multilingual', 'af', 'am', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'co', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fil', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'haw', 'hi', 'hmn', 'ht', 'hu', 'hy', 'ig', 'is', 'it', 'iw', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lb', 'lo', 'lt', 'lv', 'mg', 'mi', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'no', 'ny', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sd', 'si', 'sk', 'sl', 'sm', 'sn', 'so', 'sq', 'sr', 'st', 'su', 'sv', 'sw', 'ta', 'te', 'tg', 'th', 'tr', 'uk', 'und', 'ur', 'uz', 'vi', 'xh', 'yi', 'yo', 'zh', 'zu', 'dataset:mc4', 'arxiv:1907.06292', 'arxiv:2105.13626', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,['mc4'],,,,"['multilingual', 'af', 'am', 'ar', 'az', 'be', 'bg', 'bn', 'ca', 'ceb', 'co', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fil', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'haw', 'hi', 'hmn', 'ht', 'hu', 'hy', 'ig', 'is', 'it', 'iw', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lb', 'lo', 'lt', 'lv', 'mg', 'mi', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'no', 'ny', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sd', 'si', 'sk', 'sl', 'sm', 'sn', 'so', 'sq', 'sr', 'st', 'su', 'sv', 'sw', 'ta', 'te', 'tg', 'th', 'tr', 'uk', 'und', 'ur', 'uz', 'vi', 'xh', 'yi', 'yo', 'zh', 'zu']"
w11wo/indonesian-roberta-base-posp-tagger,3482326,token-classification,124075034.0,"['transformers', 'pytorch', 'tf', 'tensorboard', 'safetensors', 'roberta', 'token-classification', 'generated_from_trainer', 'ind', 'dataset:indonlu', 'base_model:flax-community/indonesian-roberta-base', 'base_model:finetune:flax-community/indonesian-roberta-base', 'license:mit', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,['indonlu'],indonesian-roberta-base-posp-tagger,"['precision', 'recall', 'f1', 'accuracy']",flax-community/indonesian-roberta-base,['ind']
microsoft/layoutlmv3-base,3380655,,125327490.0,"['transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'layoutlmv3', 'en', 'arxiv:2204.08387', 'license:cc-by-nc-sa-4.0', 'endpoints_compatible', 'region:us']",cc-by-nc-sa-4.0,,,,,en
